Designator,Footprint,Quantity,Value,LCSC Part #
"SW1, SW11, SW12, SW13, SW14, SW16, SW17, SW18, SW19, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW40, SW41, SW43, SW44, SW45, SW46, SW48, SW49, SW50, SW51, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW66, SW67, SW7, SW8, SW9",SW_Hole_1u,53,SW_Push,
"SW10, SW15, SW20, SW42, SW47, SW52",SW_Hole_1.25u,6,SW_Push,
"SW2, SW5",SW_Hole_1.5u,2,SW_Push,
SW29,SW_Hole_2u3u_JLC,1,Space,
SW3,SW_Hole_1.75u,1,SW_Push,
SW4,SW_Hole_2u,1,SW_Push,
SW63,SW_Hole_1u,1,Yen,
SW64,SW_Hole_1u,1,Backspace,
SW65,SW_Hole_2u,1,ISOEnter,
